User ID,Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
9,Bradley Green,brittany02@example.net,brittany02,24-Dec-50,Female,Karenshire,9-Apr-24,9-Apr-25,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4,8
25,Eric Johnson,lgreer@example.org,lgreer,2-Oct-94,Female,North Jacob,18-Jan-24,17-Jan-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4
63,Megan Bates,douglas02@example.net,douglas02,17-Aug-81,Female,Harrisshire,9-Jan-24,8-Jan-25,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3
65,Jessica Flores,aguilarjohn@example.net,aguilarjohn,30-Jun-48,Female,New Jonathan,17-Jan-24,16-Jan-25,Monthly,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6
82,Monique Rodriguez,rrhodes@example.com,rrhodes,3-May-40,Male,West Connorport,20-Mar-24,20-Mar-25,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9
128,Ashley Jenkins,apope@example.com,apope,19-Jun-85,Male,Lake Jacobport,9-Apr-24,9-Apr-25,Monthly,Visa,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.4,9
179,Travis Jenkins,mason12@example.net,mason12,31-Mar-49,Female,Williamland,24-Mar-24,24-Mar-25,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,Medium,4.5,6
211,Jennifer Perez,millervalerie@example.net,millervalerie,21-Dec-37,Male,Meyerberg,4-Feb-24,3-Feb-25,Monthly,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.1,6
212,Eric Bryant,bryan67@example.net,bryan67,1-Jul-59,Female,West Gary,10-Mar-24,10-Mar-25,Annual,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,4.8,10
214,Robert Bryant,ywilson@example.org,ywilson,22-Sep-83,Male,Nicholsburgh,17-Jan-24,16-Jan-25,Monthly,Mastercard,Manual,Frequent,Electronics,Horror,Smartphone,High,3.1,0
